skos:prefLabel	skos:definition	rdf:type	skos:altLabel	skos:hiddenLabel	skos:narrower	skos:broader	skos:scopeNote	skos:changeNote
Bouquet	Donner le bouquet à quelqu'un, quand on l'invite à donner un bal ou un repas à une compagnie. Rendre le bouquet, quand il s'acquitte de son devoir. (Furetière, Antoine (1690). Dictionnaire universel...)	skos:Concept				Poésie	Geste qui peut se traduire par une pièce musicale.	EP346745
Bourdon	Terme désignant un son grave se rapprochant du bourdonnement ou du grondement. Dans le domaine des instruments de musique, il revêt des sens différents. (Benoit, Marcelle (dir.) (1992). Dictionnaire de la musique en France aux XVIIe et XVIIe siècles. Fayard.)	skos:Concept				Accompagnement		EP345659
Bourgeoisie	Catégorie de personne ayant une situation relativement aisée.	skos:Concept				Vie sociale		EP347048
Bourrée	Danse originaire d'Auvergne à quatre temps.	skos:Concept				Air à danser		EP345737
Bourrée vocale		skos:Concept						
Boutade	Nom ancien d'un petit ballet impromptu. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Boyau	Intestin d'un animal, utilisé pour fabriquer les cordes de nombreux instruments à cordes jusqu'au milieu du XXe siècle.	skos:Concept						
Branle	Sorte de danse fort gaie, qui se danse en rond, sur un air court et en rondeau, c'est-à-dire avec un même refrain à la fin de chaque couplet. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept				Air à danser		EP345738
Brève	Ce mot signifiait autrefois une figure de note qui avait la valeur de deux rondes. — Aujourd'hui on appelle brèves les notes dont la valeur est moindre que les précédentes, et spécialement celles qui suivent immédiatement les notes pointées : ainsi, une noire prend le nom de brève, lorsqu'elle est après une blanche pointée, la croche après une noire pointée. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Bréviaire	Livre liturgique regroupant les prières et lectures réparties selon les heures de la journée, connu également sous le nom de Liturgie des Heures. Utilisé pour la prière quotidienne, en contexte privé ou communautaire.	skos:Concept	Liturgie des Heures			Livre liturgique		EP346362;PMB23043
Style brisé		skos:Concept				Agrément		EP345725
Brocart		skos:Concept						EP345816
Broderie	Notes de goût que le Musicien ajoute à sa Partie dans l’exécution, pour varier un Chant souvent répété, pour orner des Passages trop simples, ou pour faire briller la légéreté de son gosier ou de ses doigts. Rien ne montre mieux le bon ou le mauvais goût d’un Musicien, que le choix & l’usage qu’il fait de ces ornemens. (Rousseau, Jean-Jacques (1768). Dictionnaire de la musique. Duchesne.)	skos:Concept						
Brunette	Petite chanson populaire à une, deux ou trois voix avec ou sans basse continue et de structure généralement bipartite à reprises (AABB). (Bouissou, Sylvie (1996). Vocabulaire de la musique baroque. Minerve.)	skos:Concept				Air		EP346612;PMB1183
Brunette instrumentale	Brunette executée seulement à l'aide d'intruments et donc sans paroles.	skos:Concept						PMB1184
Bucolique	Poème pastorale, relatif à la poésie pastorale.	skos:Concept						
Budget	Récapitulatif des recettes et des dépenses prévisionnelles déterminées et chiffrées pour un exercice comptable à venir.	skos:Concept						
Buffet d'orgue	Se dit de toute la menuiserie ou se trouvent renfermés les jeux d'un orgue. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Burlesque	D'un comique extravagant et déroutant. (Le Robert)	skos:Concept						EP345817
Cabinet de lecture	Lieu destiné à la lecture et retiré dans les palais et les grandes maisons.	skos:Concept						
Cachet	Manière de faire, caractère particulier qui distingue les ouvrages d'un compositeur. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Cadence harmonique		skos:Concept						EP345819
Cadence improvisée		skos:Concept						
Cadence ornementale		skos:Concept						
Caisse de résonance	"Corps des instruments à cordes, dont la cavité sert à amplifier la vibration de ces dernières. (""Dictionnaire de la musique"". Larousse)"	skos:Concept						
Calligraphie	Art de bien former les caractères d'écriture ; écriture formée selon cet art. (Le Robert)	skos:Concept						PMB1185
Canane		skos:Concept						
Canarie	Ancienne espèce de gigue, en mesure à 6116, et exécutée avec un peu plus de mouvement. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept				Air à danser		EP345739
Canon	C'est une sorte de fugue qu'on appelle perpétuelle, parce que les parties, partant l'une après l'autre, répètent sans cesse le même chant. Il y a plusieurs espèces de canons. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept				Air		EP346613;PMB1186
Canonisation	Procédure officielle par laquelle l’Église catholique reconnaît une personne comme sainte, selon des critères établis. La déclaration est faite solennellement par le pape.	skos:Concept						EP345821
Cantate	Genre lyrique basé sur un livret, aussi bien sacré que profane. De dimension souvent plus modeste, la cantate est assez proche du genre de l'oratorio, genre exclusivement sacré.	skos:Concept				Musique vocale		EP346623;PMB1187
Cantate allemande profane		skos:Concept						PMB1188
Cantate allemande sacrée		skos:Concept						PMB1189
Cantate burlesque		skos:Concept						PMB23059
Cantate française		skos:Concept				Cantate		EP346624;PMB1190
Cantate italienne		skos:Concept				Cantate		EP346625;PMB1191
Cantate scénique		skos:Concept						
Cantate spirituelle		skos:Concept	Cantate pieuse##Cantate religieuse##Cantate sacrée			Cantate		EP346626;PMB1192
Cantatille	Petite cantate fort courte. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept				Air		EP346614;PMB1193
Cantatillette		skos:Concept						
Cantatrice		skos:Concept						EP345826
Cantilène	Nom que les italiens donnaient autrefois à la musique mondaine pour la distinguer de la musique sacrée, que l'on appelait motets. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Cantique	Chant ou prière autre qu'un psaume, rédigé dans une forme versifiée, dérivé de la Bible et utilisé dans le culte liturgique de l'Église. (Benoit, Marcelle (dir.) (1992). Dictionnaire de la musique en France aux XVIIe et XVIIe siècles. Fayard.)	skos:Concept					chant ou prière autre qu'un psaume, rédigé dans une forme versifiée, dérivé de la Bible et utilisé dans le culte liturgique de l'Église.	EP347079;PMB1195
Magnificat	Cantique tiré de l'Évangile selon saint Luc (1,46–56) dans lequel Marie exprime sa reconnaissance envers Dieu, en glorifiant ses actions en sa faveur et dans l'histoire des hommes.	skos:Concept	Cantique de Marie##Luc 1,46##Magnificat anima mea				Aussi appelé Cantique de Marie, il commence par le mot Magnificat dans la version latine. Ce chant de louange est intégré à l’office des Vêpres dans la liturgie des Heures. Il est fréquemment mis en musique dans les traditions religieuses et musicales	PMB1196;EP346376;PMB1430
Cantique de l'Ancien Testament		skos:Concept				Cantique		
Cantique de Moïse		skos:Concept	Cantemus Domino Gloriose			Cantique de l'Ancien Testament		PMB1197
Cantique de Noël		skos:Concept				Cantique en français		EP347081
Cantique de Siméon		skos:Concept	Nunc Dimittis					PMB1198
Cantique de Zacharie		skos:Concept	Benedictus Dominus Deus Israël					PMB1199
Cantique des Cantiques		skos:Concept						EP345829;PMB1200
Cantique en français		skos:Concept				Cantique		EP347080
Cantique en latin		skos:Concept				Cantique		EP347085
Cantique évangélique		skos:Concept				Cantique		
Cantique spirituel		skos:Concept					air de dévotion, prière domestique (latin ou français).	EP345830;PMB1201
Cantus firmus	Mélodie préexistante, souvent liturgique et en latin, utilisée comme base structurante dans une composition polyphonique. Elle est généralement confiée à une voix (souvent le ténor) et écrite en valeurs longues par rapport aux autres voix.	skos:Concept	Chant ferme				Le cantus firmus, bien que principalement associé à la musique médiévale et Renaissance, reste utilisé dans certaines œuvres baroques et classiques, parfois comme référence liturgique ou citation symbolique, comme dans Benedictus sit Deus K.117 de Mozart.	PMB22644
Canzone alla napolitana		skos:Concept						
Canzone instrumentale		skos:Concept						PMB1202
Canzone vocale		skos:Concept						PMB1203
Canzonette		skos:Concept						PMB1204;PMB23338
Capitule		skos:Concept						
Caprice	Sorte de pièce de musique, libre, fantasque ou bizarre, dans laquelle l'auteur, sans s'assujétir à aucun sujet, donne carrière à son génie, et se livre à tout le feu de la composition. Les caprices de Locatelli ont joui d'une grande célébrité. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						PMB1205
Caractère de danse		skos:Concept				Chorégraphie		EP345920
Caractère d'imprimerie		skos:Concept						
Carême	Période de quarante jours précédant Pâques dans le calendrier liturgique chrétien, consacrée à la pénitence, au jeûne et à la préparation spirituelle. Elle commence avec le mercredi des Cendres et se termine à la veillée pascale.	skos:Concept	Quadragésime					PMB1206
Carême, dimanche I	Premier dimanche de la période de Carême, marqué dans la liturgie chrétienne par l’évocation du jeûne de Jésus au désert.	skos:Concept	1er dimanche de Carême					
Carême, dimanche II	Deuxième dimanche du Carême, traditionnellement associé à la Transfiguration du Christ dans les lectures bibliques.	skos:Concept	2e dimanche de Carême					
Carême, dimanche III	Troisième dimanche de Carême, axé dans la liturgie sur le thème de la conversion et de la miséricorde divine.	skos:Concept	3e dimanche de Carême					
Carême, dimanche IV	Quatrième dimanche du Carême, appelé aussi dimanche Laetare, marquant une pause joyeuse dans l’austérité du Carême.	skos:Concept	4e dimanche de Carême##Laetare					
Carillon	Réunion de cloches accordées de manière à former une échelle chromatique. Le premier carillon fut exécuté à Alost, en Flandre, en 1487. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Carillonneur	Musicien qui joue du carillon.	skos:Concept				Instrumentiste		EP346443;PMB1207
Carnaval	Genre lyrique prenant pour thème les fêtes liées au Mardi gras qui précède le carême. D'origine italienne, il entraîne le port du masque et se déroule dans une ambiance de liesse collective. (Benoit, Marcelle (dir.) (1992). Dictionnaire de la musique en France aux XVIIe et XVIIe siècles. Fayard.)	skos:Concept						
Carrière musicale		skos:Concept				Fonction sociale		EP347055
Carrousel	Spectacle équestre organisé à la Cour.	skos:Concept						EP345834;PMB1208
Carrure		skos:Concept				Forme musicale		EP346149
Cartel		skos:Concept						
Castagnettes	Instrument de percussion composé de deux petites pièces de bois concaves faites en forme de noix. On fait résonner ces concavités en les appliquant l'une contre l'autre. On tient une castagnette en deuxpièces de chaque main, en passant les doigts dans les cordons qui les réunissent. Cet instrument est fort en usage chez les Espagnols, qui s'en servent pour marquer la mesure en dansant le fandango, le bolero la seguidilla. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Castrat	Chanteurs eunuques (soprano ou alto), amenés d'Italie en France grâce à Mazarin, en 1644 et 1660, les castrats y sont acceptés avec plus ou moins de succès.	skos:Concept				Chanteur		EP346432;PMB1209
Catalogue	Liste méthodique accompagnée de détails, d'explications. (Le Robert)	skos:Concept						EP345835;PMB23371
Catalogue d'auteur	Liste méthodique contenant des détails sur des auteurs.	skos:Concept						
Catalogue d'éditeur	Liste méthodique contenant des détails sur des éditeurs.	skos:Concept				Catalogue		EP345836
Catalogue d'oeuvres	Liste méthodique contenant des détails sur des oeuvres.	skos:Concept				Catalogue		EP345837
Catéchisme	Enseignement de la doctrine et de la morale chrétienne.	skos:Concept				Cérémonie profane		EP345843
Cathédrale	Église principale d’un diocèse, où se trouve le siège (ou cathèdre) de l’évêque. Elle est le centre liturgique et symbolique de l’autorité épiscopale.	skos:Concept	Eglise cathédrale					EP345839
Fête de sainte Catherine d'Alexandrie	La fête de sainte Catherine d’Alexandrie est célébrée le 25 novembre. Fille du roi d’Alexandrie, elle est célèbre pour sa beauté, son érudition et sa foi. Après avoir eu une vision mystique de l’Enfant Jésus, elle se convertit et s’efforça de purifier son âme pour devenir digne de son époux céleste. Martyrisée sous l’empereur Maximin Daia, vers 305 ou 310, elle subit le supplice d'une machine infernale composée de quatre roues armées de pointes et de scies. Son corps, broyé, aurait été transporté par des anges au Mont Sinaï. Patronne des jeunes filles, des étudiantes, des meuniers, des modistes, des philosophes, des rémouleurs, des tanneurs et des tourneurs, elle est traditionnellement représentée avec une roue. Son nom vient du grec katharos (« pur »). Plusieurs dictons populaires lui sont associés, notamment autour de l’hiver. Sa fête a été retirée du calendrier liturgique en 1969.	skos:Concept	Sainte Catherine##Sainte Catherine d'Alexandrie##Fête de sainte Catherine##Fête de sainte Catherine d'Alexandrie##Fête de la Sainte-Catherine##Sainte Catherine d'Alexandrie la Grande##Fête de la Sainte-Catherine d'Alexandrie					
Catholicisme	Ensemble des croyances, pratiques religieuses, institutions et fidèles relevant de l’Église catholique romaine, dont le pape, évêque de Rome, est la plus haute autorité spirituelle.	skos:Concept	Église catholique##Religion catholique			Christianisme		EP345862
Cembal d'amore	Sorte de clavecin. (Wright, Rowland (1941). Dictionnaire des instruments de musique. Battley Brothers)	skos:Concept						PMB23296
Censure	Contrôle exercé par une autorité (religieuse, royale ou administrative) sur les œuvres écrites et imprimées, visant à autoriser, modifier, interdire ou encadrer leur diffusion publique.	skos:Concept						
Cérémonial	Livre où est contenu l'ordre des cérémonies. (Furetière, Antoine (1701). Dictionnaire universel...)	skos:Concept				Livre liturgique		EP346363;PMB1211
Cérémonie	Assemblage de plusieurs actions, formalités et manière d'agir, qui servent à rendre une chose plus magnifique et plus solennelle. (Furetière, Antoine (1701). Dictionnaire universel...)	skos:Concept				Fête		EP346126
Cérémonie de cour	Assemblage de plusieurs actions, formalités et manière d'agir, qui sont d'usage à la cour.	skos:Concept				Cérémonie		EP346127
Cérémonie funèbre	Assemblage de plusieurs actions, formalités et manière d'agir, qui servent à rendre un dernier hommage à un défunt.	skos:Concept						
Cérémonie liturgique	Choses qui peuvent rendre le culte divin plus auguste et plus vénérable. (Furetière, Antoine (1701). Dictionnaire universel...)	skos:Concept	Cérémonie religieuse					EP345841;EP346128
Cérémonie profane		skos:Concept						EP345842
Cérémonie révolutionnaire		skos:Concept						
Cerveau de cloche	Partie superieure de la cloche qui se courbe en forme de timbre ou de calotte. (Le Robert)	skos:Concept						
Dynamique		skos:Concept						
Chabrette		skos:Concept						PMB1212
Chaconne	Air de danse très-étendu, qui servait de finale à un ballet ou à un opéra. La chacone n'est plus en usage sur aucun théâtre. Elle s'écrivait à deux ou à trois temps et quelquefois à quatre. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept	Chacone			Air à danser		EP345740;PMB1213
Chaire de Pierre à Alexandrie		skos:Concept						
Fête de la chaire de saint Pierre à Rome	Fête liturgique célébrée le 22 février, symbolisant la mission de saint Pierre comme premier évêque de Rome et fondateur du ministère pontifical. Elle souligne l’autorité du pape comme successeur de saint Pierre.	skos:Concept						
Chalemie	Instrument à vent à anche double. A l'origine, c'était le dessus de la famille des bombardes. (Benoit, Marcelle (dir.) (1992). Dictionnaire de la musique en France aux XVIIe et XVIIe siècles. Fayard.)	skos:Concept						
Chalumeau (instrument)	Instrument à vent fort ancien, et le premier peut-être qui ait été inventé. Cet instrument pastoral n'était dans l'origine qu'un roseau percé de plusieurs trous. Le chalumeau moderne était une espèce de petit hautbois, que l'on a abandonné à cause de la mauvaise qualité de ses sons. L'embouchure se composait d'un morceau de roseau taillé d'une seule pièce ou divisé en deux parties ou languettes très-minces et très-rapprochées. Le tube inférieur s'élargissait en forme de pavillon. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Chanoine	Celui qui possède une Prebende dans une Eglise Cathédrale, ou Collégiale ; c'est-à-dire, un certain revenu affecté à ceux qui y doivent faire le Service divin. (Furetière, Antoine (1701). Dictionnaire universel...)	skos:Concept						
Chanson	Petit poème en vers simple, composé de plusieurs couplets et mis en musique pour être chanté.	skos:Concept				Poésie		EP346746;PMB1214;PMB24538
Chanson à boire		skos:Concept				Chanson		EP346747;PMB1215
Chanson à danser		skos:Concept				Chanson		EP346748;PMB1216
Chanson de colportage		skos:Concept						PMB1217
Chanson de geste	Poème épique, composé du xie au xiiie siècle en décasyllabes ou en alexandrins réunis en laisses assonancées, chantant les exploits de héros historiques ou légendaires. (Encyclopédie Larousse)	skos:Concept						
Chanson pastorale		skos:Concept						PMB1218
Chanson patriotique		skos:Concept						PMB23459
Chanson populaire		skos:Concept				Chanson		EP346749;PMB1219
Chanson spirituelle		skos:Concept						EP345849;PMB1220
Chansonnette	C'est ainsi qu'on appelle aujourd'hui une petite poésie lyrique qui n'a rien de recherché ni dans le sujet, ni dans l'exécution. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept				Chanson		EP346751
Chansonnier	Faiseur de chansons. Il y a de deux sortes de Chansonniers. Les uns composent les vers, et les airs de leurs chansons ; et les autres se contentent de composer des vers fur les airs que les musiciens leur donnent. (Furetière, Antoine (1701). Dictionnaire universel...)	skos:Concept				Recueil		EP346820;PMB1221
Chant	Art d'écrire et d'interpréter la musique vocale.	skos:Concept						EP345850;PMB1222
Chant d'oiseau		skos:Concept						
Chant patriotique		skos:Concept						
Chant religieux		skos:Concept						PMB1224
Chant révolutionnaire		skos:Concept				Air		EP346615
Chant royal		skos:Concept						
Chant sur le livre	Plain-chant ou contre-point à quatre parties, que les musiciens composent et chantent impromptu sur une seule, savoir, le livre de choeur qui est au lutrin ; en sorte qu'excepté la partie notée, qu'on met ordinairement au ténor, les musiciens affectés au trois autres parties n'ont que celle-là pour guide, et composent chacun la leur en chantant. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept				Improvisation		EP346212
Chanteur	Celui qui exécute des compositions musicales au moyen de la voix. Il y a des chanteurs de soprano, de mezzo-soprano, d'alto, de contralto, de haute-contre, de ténor, de baryton et de basse. (Voyez l'article Voix.) (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept				Musicien		EP346429;PMB1225
Chanteuse	Ce mot est le féminin de chanteur, suivant l'Académie ; il devrait par conséquent avoir la même signification. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept				Chanteur		EP346433;PMB1226
Chantre	Ecclésiastique ou séculier appointé dans les chapitres pour chanter le plain-chant aux offices religieux. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept				Musicien d'église		EP478177
Chapelle	On entend par chapelle le lieu dans une église où l'on exécute la musique, ainsi que le corps même des musiciens qui exécutent cette musique, et par extension tous les musiciens qui sont gagés par un souverain, quand même il n'exécutent jamais de musique dans les églises. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						EP345852
Chapitre de chanoines	Assemblée que tiennent les chanoines pour délibérer de leurs affaires et régler leur discipline. (Furetière, Antoine (1701). Dictionnaire universel...)	skos:Concept				Communauté religieuse		EP347041
Charge		skos:Concept				Fonction sociale		EP347056
Charivari	Bruit tumultueux, musique bruyante, discordante, dans laquelle on ne fait entendre nulle mélodie. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						PMB23600
Chasse à cour		skos:Concept						
Chef d'orchestre	Personne chargée de coordonner le jeu des musiciens de l’orchestre, en leur imposant un rythme commun et, sur le volet artistique, à orienter l’interprétation des œuvres musicales. (Larousse)	skos:Concept						EP345854;PMB22962
Chevalet	Pièce de bois posé, d'aplomb sur la table des instruments, pour en soutenir les cordes et leur donner plus de son en les tenant relevées en l'air. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept				Facture d'instrument à cordes		EP346098
Cheville	Dans, les instruments à cordes on appelle chevilles les petites pièces de fer ou de bois sur lesquelles on roule des cordes, et qui servent ainsi à leur donner plus ou moins de tension pour les accorder. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Chevillier		skos:Concept						
Chiavette		skos:Concept				Transposition		EP346985
Chiffrage	[Utilisation de] caractères qu'on place au-dessous des notes de la basse pour indiquer les accords qu'elles doivent porter. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						EP345855;PMB23475
Chinois (système musical des)		skos:Concept				Exotisme		EP346078
Chitarrone		skos:Concept		Chitaronne				PMB1229;PMB23089
Choeur		skos:Concept						EP345856;PMB1230
Choeur d'opéra		skos:Concept						PMB22963
Choeur instrumental		skos:Concept						
Choral		skos:Concept						PMB1231
Choral instrumental		skos:Concept						PMB1232
Chorale		skos:Concept						PMB1233
Chorégraphe	Personne qui compose des ballets [sens actuel du terme]. (Le Robert)	skos:Concept						EP345860;PMB1234
Chorégraphie	Art de composer des ballets, d'en régler les figures et les pas. (Le Robert)	skos:Concept				Danse		EP345919
Choriste	Homme ou femme qui ne chante que dans les choeurs. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept				Chanteur		EP346434
Christianisme	Ensemble des croyances, pratiques religieuses, institutions et traditions fondés sur la vie, les enseignements et la personne de Jésus de Nazareth, reconnu comme le Christ. Le christianisme comprend plusieurs courants majeurs, dont le catholicisme, le protestantisme et l’orthodoxie.	skos:Concept						EP345861;PMB22818
Chromatisme		skos:Concept						EP345865
Chroniqueur		skos:Concept						
Chronomètre		skos:Concept				Pendule		EP346232
Circoncision du Christ	Fête chrétienne célébrant la circoncision de Jésus, selon la tradition juive, le huitième jour après sa naissance.	skos:Concept	Fête de la Circoncision##Circoncision de Jésus##1er janvier (liturgie)##Solennité de la Circoncision##Circoncision (Jésus-Christ)				Fêtée le 1er janvier dans l'Église latine jusqu'à la réforme liturgique du XXe siècle. Aujourd'hui, cette date correspond à la Solennité de Sainte Marie, Mère de Dieu, mais la lecture évangélique de la circoncision a été conservée. Cette célébration rappelle l’inscription de Jésus dans la tradition d’Israël et son obéissance à la Loi.	PMB1236
Circonstances de création		skos:Concept				Création d'oeuvre		EP345905
Circulation d'oeuvre		skos:Concept				Création d'oeuvre		EP345906
Cistre	Instrument ancien qui tenait du luth et de la guitare, il avait un corps sonore plat, de forme ovale, sans courbure du luth, les cordes étaient en métal. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						PMB23097
Citation thématique		skos:Concept						
Cithare	Sorte d'instrument à cordes des anciens, espèce de lyre ayant ordinairement sept cordes. (Wright, Rowland (1941). Dictionnaire des instruments de musique. Battley Brothers)	skos:Concept						
Clairon	Trompette à son clair et perçant employée pour les sonneries dans l'infanterie. (Wright, Rowland (1941). Dictionnaire des instruments de musique. Battley Brothers)	skos:Concept						
Clarinette	Instrument à anche simple, la clarinette possède une tessiture très étendue, une grande possibilité de nuances, et existe en plusieurs tailles.	skos:Concept						PMB1237
Clarinette d'amour	Clarinette à sept clefs sonnant une tierce plus bas que la clarinette ordinaire. (Wright, Rowland (1941). Dictionnaire des instruments de musique. Battley Brothers)	skos:Concept						PMB23294
Clarinettiste	Musicien qui joue de la clarinette.	skos:Concept				Instrumentiste		EP346444
Classicisme	En histoire de la musique, le terme revêt une valeur chronologique et stylistique. Il s'oppose au baroque qui le précède et s'ouvre avec Haydn.	skos:Concept						EP345868;PMB1238
Clavecin	Instrument à clavier et cordes pincées. Si le clavecin est l'emblème de l'ère baroque ainsi que de la noblesse, son origine remonte au Moyen Âge sous le nom de clavicymbalum ou clavicytherium.	skos:Concept						PMB1239
Clavecin à maillets	Clavecin inventé en 1716 par Marius dans lequel des marteaux étaient substitués aux sautereaux. (Wright, Rowland (1941). Dictionnaire des instruments de musique. Battley Brothers)	skos:Concept						EP345869
Clavecin brisé	Petit clavecin inventé par Marius en 1700. On pouvait démonter facilement cet instrument en trois sections et le mettre dans un coffret de voyage. (Wright, Rowland (1941). Dictionnaire des instruments de musique. Battley Brothers)	skos:Concept						
Clavecin électrique	(Inventé par La Borde J. B., en 1755). — C'était un carillon avec un clavier dont chaque touche correspondait à un timbre particulier. Le clavier faisait mouvoir les verges qui frappaient les timbres et les touches n'étaient mises en action que par une commotion électrique. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						PMB23418
Clavecin oculaire	Le P. Louis-Bertrand Castel, inventeur de cet instrument, avait distribué entre les touches les couleurs d'après une certaine gradation, de manière que chaque touche, au moyen de la pression, produisait une couleur selon les principes qu'il avait établis. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept	clavecin à couleurs					PMB1240
Claveciniste	Musicien qui joue du clavecin.	skos:Concept				Instrumentiste		EP346445;PMB1241
Clavicorde	Ancien instrument à corde de forme triangulaire, que l'on jouait comme l'épinette. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						PMB1242
Claviers (famille d'instrument)	Ensemble des instruments à clavier.	skos:Concept						EP346105;PMB1243
Clavier accouplé		skos:Concept						
Clavier d'écho		skos:Concept						
Clavier du grand orgue		skos:Concept						
Clavier du positif		skos:Concept						
Clavier du récit		skos:Concept						
Clé	Caractère de musique qui se met au commencement d'une portée, pour déterminer le degré d'élévation de cette portée dans le clavier général, et indiquer les noms de toutes les notes qu'elle contient dans la ligne de cette clef. Ce caractère, en faisant connaître les noms et les degrés d'intonation que l'on doit donner aux notes, ouvre pour ainsi dire la porte du chant, et c'est à cause de cette propriété qu'il a reçu le nom métaphorique de clef. Le nombre de clefs est de sept, savoir : deux clefs de fa, quatre clefs d'ut, et la clef de sol ; on se servait autrefois d'une huitième clef, celle de sol sur la première ligne. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept	clef					
Clé d'accord	On appelle encore clef une espèce de croix de fer, percée par l'un de ses bouts d'un trou carré dans lequel on fait entrer la tête des chevilles des harpes, des pianos, des guitares, pour monter ou lâcher les cordes. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept	clef d'accord					
Clé (organologie)	Dispositif mécanique permettant d'ouvrir ou de fermer les trous d'un instrument à vent qui sont hors d'atteinte des doigts.	skos:Concept	clef			Facture d'instrument à vent		EP346110
Cloche	Instrument creux, évasé, en métal sonore (bronze), dont on tire des vibrations retentissantes et prolongées en en frappant les parois intérieures ou extérieures. (Le Robert)	skos:Concept				Instrument à percussion		EP346280;PMB1244
Collaboration de musiciens		skos:Concept				Création d'oeuvre		EP345907
Collaboration musicien/chorégraphe		skos:Concept				Dramaturgie		EP345696
Collaboration musicien/écrivain		skos:Concept				Dramaturgie		EP345697
Collaboration musicien/écrivain/chorégraphe		skos:Concept				Dramaturgie		EP345698
Collage de textes bibliques		skos:Concept						
Collection d'instruments de musique		skos:Concept						EP345871;PMB1245
Collection musicale		skos:Concept				Bibliothèque		EP345810;PMB1246
Collectionneur		skos:Concept						EP345872
Collectionneur de livres		skos:Concept				Collectionneur		EP345873
Collectionneur de musique		skos:Concept				Collectionneur		EP345874;PMB1248
Collectionneur d'instruments de musique		skos:Concept				Collectionneur		EP345875;PMB1247
Collège		skos:Concept						EP345876
Collège jésuite	Établissement scolaire dirigé par un jésuite et animé par une équipe de jésuites.	skos:Concept				Collège		EP345877
Collégiale	Une collégiale est une église qui possède un chapitre de chanoines composé d'un nombre fixe de chanoines réguliers ou séculiers.	skos:Concept	Église collégiale					
Colophane	De Colophon, ville d'Ionie, renommée pour sa résine, ce mot sert aujourd'hui à nommer cette résine sèche et transparente, dont se servent les artistes pour frotter les archets. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Comédie		skos:Concept				Théâtre		EP346933;PMB1249
